id,name,price,rating,img_link
23184846,"Petra District, Jordan","₹2,731 per night",4.51,https://a0.muscache.com/im/pictures/7e020b7f-df34-433a-86a2-4550e9f89bc2.jpg?im_w=720
5301918,"Göreme, Turkey","₹13,590 per night",4.96,https://a0.muscache.com/im/pictures/4c5ef058-7473-4099-a17c-c9733800df2e.jpg?im_w=720
19727858,"Göreme Belediyesi, Turkey","₹15,855 per night",4.92,https://a0.muscache.com/im/pictures/3cf5662b-8eed-40f6-ab9b-9637b6631610.jpg?im_w=720
49372736,"Vothonas, Greece","₹30,168 per night",4.99,https://a0.muscache.com/im/pictures/miso/Hosting-49372736/original/439cbe6b-8e82-47ce-8900-c6a04e0685e5.jpeg?im_w=720
54137322,"Ürgüp, Turkey","₹25,562 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-54137322/original/e8e395c5-699a-40a9-8a3e-77e85bb8873f.jpeg?im_w=720
11331511,"Göreme Belediyesi, Turkey","₹6,523 per night",4.77,https://a0.muscache.com/im/pictures/miso/Hosting-11331511/original/7a825217-2bce-4e37-88f6-be4d51ba5574.jpeg?im_w=720
13741504,"Oia, Greece","₹48,428 per night",4.88,https://a0.muscache.com/im/pictures/f723a168-0942-4c96-9aca-15555857bf19.jpg?im_w=720
433392,"Santorini, Greece","₹45,649 per night",4.95,https://a0.muscache.com/im/pictures/miso/Hosting-433392/original/4d24f695-3f40-49da-80ef-504161797cbb.jpeg?im_w=720
283638,"Oia, Greece","₹56,126 per night",4.96,https://a0.muscache.com/im/pictures/35c471f8-4c26-4398-994f-e192ac0dded8.jpg?im_w=720
47878218,"Ortahisar, Turkey","₹7,637 per night",4.99,https://a0.muscache.com/im/pictures/2049f7a9-bd83-4a87-9c95-644da4b74db1.jpg?im_w=720
44834145,"Göreme, Turkey","₹6,161 per night",4.87,https://a0.muscache.com/im/pictures/miso/Hosting-44834145/original/4028d460-ed62-49ec-b86f-ec3032e2b0a3.jpeg?im_w=720
49658021,"Mustafapaşa, Turkey","₹5,724 per night",4.93,https://a0.muscache.com/im/pictures/2549f10c-26ca-4ca7-874a-8afc2fd84e13.jpg?im_w=720
49361434,"Vothonas, Greece","₹28,795 per night",4.99,https://a0.muscache.com/im/pictures/miso/Hosting-49361434/original/4839d8c1-a8c9-4584-965b-3e056e043c5e.jpeg?im_w=720
12428795,"Santorini, Greece","₹31,994 per night",5.0,https://a0.muscache.com/im/pictures/4e99d3c9-9e55-4ad5-bc0a-b6ed67644b62.jpg?im_w=720
11131631,"Ortahisar Belediyesi, Turkey","₹5,900 per night",4.92,https://a0.muscache.com/im/pictures/3e13ae05-69b2-4da8-8367-6e8aca8e44c1.jpg?im_w=720
51718073,"Wadi Rum Village, Jordan","₹2,809 per night",4.94,https://a0.muscache.com/im/pictures/7aa3182b-5123-4394-98b4-b4fabc171ccf.jpg?im_w=720
49881157,"Mustafapaşa, Turkey","₹4,203 per night",4.95,https://a0.muscache.com/im/pictures/eb8dd1ba-b6fc-4a7a-8836-c433885ae9cb.jpg?im_w=720
52234569,"Göreme, Turkey","₹6,272 per night",New,https://a0.muscache.com/im/pictures/0c6f0c0d-b690-4b4e-a907-44307e88bfd2.jpg?im_w=720
38611089,"Göreme, Turkey","₹3,010 per night",4.57,https://a0.muscache.com/im/pictures/58a223c6-7649-4697-b65b-39ede23779d9.jpg?im_w=720
44850887,"Göreme, Turkey","₹21,200 per night",4.93,https://a0.muscache.com/im/pictures/6909dfd9-cebf-4377-835f-ba5abea54fed.jpg?im_w=720
22947969,"Thera, Greece","₹16,386 per night",4.92,https://a0.muscache.com/im/pictures/a7de733b-47fd-4dcc-954f-5a79f8525134.jpg?im_w=720
44652728,"Göreme, Turkey","₹14,049 per night",4.77,https://a0.muscache.com/im/pictures/a0171830-112c-4e0e-b980-3e6ee16f9649.jpg?im_w=720
25369266,"Oia, Greece","₹45,299 per night",4.9,https://a0.muscache.com/im/pictures/5102ddc2-35dd-4caf-9040-a5f677ab304d.jpg?im_w=720
24449723,"Nar Belediyesi, Turkey","₹3,382 per night",4.87,https://a0.muscache.com/im/pictures/2c9d1f9e-bffc-46a4-a4b3-fdef668b5d1b.jpg?im_w=720
17931124,"Pyrgos Kallistis, Greece","₹10,872 per night",4.98,https://a0.muscache.com/im/pictures/a52b2c55-0c84-4cdb-8f68-f5b4290e48c9.jpg?im_w=720
9007528,"Petra District, Jordan","₹2,753 per night",4.65,https://a0.muscache.com/im/pictures/0d94bb1d-23e4-40ee-b077-438e737be17c.jpg?im_w=720
602613275257815261,"Ürgüp, Turkey","₹5,436 per night",New,https://a0.muscache.com/im/pictures/miso/Hosting-602613275257815261/original/d84877a2-f8ca-41b1-a76e-cab07acb244e.jpeg?im_w=720
44344315,"Mesa Katikies, Thira, Greece","₹27,548 per night",4.84,https://a0.muscache.com/im/pictures/miso/Hosting-44344315/original/7ede71bf-ed1d-4a11-b8df-a1c2628e5c96.jpeg?im_w=720
34293372,"Red beach, Greece","₹13,639 per night",4.97,https://a0.muscache.com/im/pictures/a2f0f725-dcb1-4aa4-b250-c05b395a7387.jpg?im_w=720
33064613,"Oia, Greece","₹54,471 per night",4.97,https://a0.muscache.com/im/pictures/63e6457f-08f2-4b4d-b2f4-4f6e363831ef.jpg?im_w=720
49683947,"Mustafapaşa, Turkey","₹5,597 per night",4.88,https://a0.muscache.com/im/pictures/miso/Hosting-49683947/original/09c930e7-f10d-4ef0-a334-e576b01d8937.jpeg?im_w=720
